,Year,Kilometers_Driven,Owner_Type,Seats,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp),Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
33,2010,35000,1,5.0,11.5,Audi,12.4,2698,179.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,2014,55431,2,5.0,6.98,Volkswagen,16.09,1598,103.5,0,0,1,0,0,0,0,0,0,0,0,0,1,1
35,2009,83816,2,5.0,1.85,Maruti,14.0,1061,64,0,0,0,0,0,1,0,0,0,0,0,0,1,1
36,2018,50075,1,5.0,8.63,Maruti,24.3,1248,88.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
37,2017,52000,1,5.0,4.85,Mahindra,18.15,1198,82,0,0,0,1,0,0,0,0,0,0,0,0,1,1
38,2013,85000,1,5.0,28.0,Mercedes-Benz,11.74,2987,254.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0
39,2013,62000,1,5.0,5.0,Volkswagen,22.07,1199,73.9,0,1,0,0,0,0,0,0,0,0,1,0,0,1
40,2008,90000,2,5.0,1.25,Maruti,19.7,796,46.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
41,2014,19698,1,4.0,1.53,Tata,25.4,624,37.5,0,0,0,0,0,0,1,0,0,0,0,0,1,1
42,2017,22033,1,6.0,5.58,Mahindra,25.32,1198,77,0,0,1,0,0,0,0,0,0,0,1,0,0,1
43,2014,35487,1,5.0,4.74,Hyundai,18.5,1197,82.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
44,2014,46374,1,5.0,8.85,Hyundai,14.62,1999,149.92,1,0,0,0,0,0,0,0,0,0,0,0,1,0
45,2016,52001,1,5.0,10.11,Toyota,14.28,1798,138.03,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,2008,58005,2,5.0,4.25,Hyundai,14.9,1991,112.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
47,2012,70704,1,7.0,10.95,Toyota,11.25,2694,163.7,1,0,0,0,0,0,0,0,0,0,0,0,1,1
48,2014,75000,1,5.0,3.85,Hyundai,24.4,1120,71,0,0,0,0,0,1,0,0,0,0,1,0,0,1
49,2012,75800,2,6.0,5.5,Mahindra,16.55,2498,105,0,0,0,0,0,1,0,0,0,0,1,0,0,1
50,2015,13648,1,5.0,21.43,Audi,17.11,1968,174.33,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51,2014,52000,1,5.0,4.25,Maruti,22.9,1248,74,0,0,0,1,0,0,0,0,0,0,1,0,0,1
52,2014,53000,1,5.0,3.3,Maruti,17.8,1248,75,0,0,0,0,0,0,0,1,0,0,1,0,0,1
53,2013,65650,1,5.0,3.85,Maruti,28.4,1248,74,0,0,0,1,0,0,0,0,0,0,1,0,0,1
54,2015,54000,3,5.0,3.6,Hyundai,18.9,1197,82,0,1,0,0,0,0,0,0,0,0,0,0,1,1
55,2015,39000,1,5.0,3.99,Volkswagen,15.04,1598,103.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1
56,2017,16542,1,5.0,3.3,Renault,25.17,799,53.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
57,2010,32000,1,5.0,2.07,Hyundai,20.36,1197,78.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1
58,2010,121812,1,5.0,7.75,Nissan,13.29,1995,147.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0
59,2010,39300,1,5.0,2.25,Maruti,18.2,998,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
60,2017,22000,1,8.0,16.5,Toyota,13.68,2393,147.8,0,0,0,0,0,0,0,0,1,0,1,0,0,1
61,2010,72000,1,5.0,2.75,Ford,20.0,1399,68,1,0,0,0,0,0,0,0,0,0,1,0,0,1
62,2015,58000,1,5.0,26.7,Mercedes-Benz,11.74,1796,186,0,0,0,1,0,0,0,0,0,0,0,0,1,0
63,2011,65000,2,5.0,10.0,Mercedes-Benz,15.8,2148,170,0,0,0,0,0,0,0,0,0,1,1,0,0,1
64,2016,178000,1,5.0,2.5,Tata,25.0,1396,69,0,1,0,0,0,0,0,0,0,0,1,0,0,1
65,2012,65664,1,5.0,13.5,Audi,16.55,1968,140,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,2007,63000,2,5.0,1.85,Honda,16.4,1497,78,0,0,0,0,0,0,0,0,1,0,0,0,1,0
67,2019,15369,1,5.0,35.67,Mercedes-Benz,0.0,1950,194,0,0,1,0,0,0,0,0,0,0,1,0,0,0
68,2016,63000,1,7.0,8.15,Maruti,24.52,1248,88.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1
69,2018,13000,1,5.0,10.5,Hyundai,22.1,1396,88.7,0,0,0,0,0,0,0,0,1,0,1,0,0,1
70,2008,73000,1,5.0,14.5,Porsche,8.5,4806,500,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,2015,55729,1,7.0,9.65,Mahindra,15.1,2179,140,0,0,0,0,0,0,0,0,1,0,1,0,0,1
72,2012,45178,1,5.0,3.48,Hyundai,16.95,1197,78.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0
73,2015,56066,1,5.0,6.92,Nissan,19.64,1461,108.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
74,2016,37300,2,5.0,6.46,Honda,16.5,1198,86.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75,2014,56000,2,5.0,29.5,Audi,18.53,1968,187.74,0,0,0,1,0,0,0,0,0,0,1,0,0,0
76,2006,230000,3,8.0,4.5,Toyota,12.4,1998,132,0,1,0,0,0,0,0,0,0,0,0,0,1,1
77,2012,104000,1,7.0,11.75,Toyota,12.8,2494,102,0,0,0,0,1,0,0,0,0,0,1,0,0,1
78,2012,95100,1,5.0,3.75,Maruti,22.9,1248,74,0,0,0,0,0,1,0,0,0,0,1,0,0,1
79,2017,70000,1,5.0,4.5,Tata,17.57,1193,88.7,0,0,0,0,0,0,0,0,0,1,0,0,1,1
80,2016,54944,1,5.0,4.82,Honda,18.0,1198,86.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
81,2012,70337,1,5.0,2.8,Ford,20.0,1399,68,0,0,0,0,1,0,0,0,0,0,1,0,0,1
82,2013,99638,1,5.0,3.11,Maruti,23.2,1248,73.94,0,0,0,0,0,1,0,0,0,0,1,0,0,1
83,2009,52000,1,5.0,3.25,Honda,17.8,1497,117.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
84,2011,75000,2,5.0,13.9,BMW,16.73,1995,218,0,0,0,1,0,0,0,0,0,0,1,0,0,0
85,2009,95980,1,5.0,2.25,Hyundai,20.36,1197,78.9,0,0,0,0,0,0,0,0,0,1,0,0,1,1
86,2016,16000,1,5.0,5.75,Hyundai,18.9,1197,82,1,0,0,0,0,0,0,0,0,0,0,0,1,1
87,2016,18949,1,5.0,5.0,Honda,17.8,1198,86.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1
88,2014,107000,1,7.0,16.5,Toyota,13.0,2982,168.5,0,0,0,1,0,0,0,0,0,0,1,0,0,1
89,2018,48367,1,5.0,39.58,Audi,17.68,1968,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0
90,2013,57000,1,5.0,5.5,Ford,22.7,1498,89.84,0,0,0,1,0,0,0,0,0,0,1,0,0,1
91,2014,58000,1,7.0,8.1,Mahindra,15.1,2179,140,0,0,0,1,0,0,0,0,0,0,1,0,0,1
92,2015,30000,1,5.0,3.5,Honda,25.8,1498,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
93,2013,34212,1,5.0,2.79,Volkswagen,22.07,1199,73.9,0,0,0,0,0,0,0,1,0,0,1,0,0,1
94,2010,70002,1,5.0,3.45,Hyundai,16.2,1493,110,0,0,0,0,0,0,0,0,0,0,1,0,0,1
95,2016,62000,1,5.0,4.45,Maruti,18.9,998,67.1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
96,2010,62001,1,5.0,2.65,Volkswagen,15.26,1598,103.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1
97,2011,78958,2,5.0,3.8,Hyundai,23.0,1396,90,0,0,0,0,0,0,0,0,0,1,1,0,0,1
98,2014,30180,1,5.0,4.65,Hyundai,18.5,1197,82.85,0,0,0,0,0,0,0,0,1,0,0,0,1,1
99,2017,32851,1,7.0,3.95,Datsun,19.83,1198,67,0,0,0,0,0,0,0,0,0,1,0,0,1,1
100,2010,30000,1,5.0,9.8,Audi,14.94,2967,241.4,0,0,0,0,0,0,0,1,0,0,1,0,0,0
101,2009,66000,2,5.0,2.7,Hyundai,17.0,1197,80,0,0,0,0,0,0,0,0,0,1,0,0,1,1
102,2010,93850,1,5.0,2.41,Maruti,14.0,796,35,0,0,1,0,0,0,0,0,0,0,0,0,1,1
103,2014,53000,1,5.0,3.9,Toyota,17.71,1197,78.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1
104,2011,78000,2,5.0,24.0,Jaguar,14.74,2993,270.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0
105,2012,65000,2,7.0,5.75,Mahindra,16.0,2179,140,0,0,0,1,0,0,0,0,0,0,1,0,0,1
106,2014,40000,1,5.0,5.25,Hyundai,22.32,1582,126.32,0,0,0,0,0,0,0,1,0,0,1,0,0,0
107,2017,30000,1,7.0,19.25,Toyota,11.36,2755,171.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
108,2017,38053,1,5.0,3.91,Maruti,15.1,1196,73,0,0,1,0,0,0,0,0,0,0,0,0,1,1
109,2014,25500,1,4.0,2.15,Tata,25.4,624,37.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1
110,2015,56087,1,5.0,20.75,BMW,22.69,1995,190,0,0,0,0,0,0,0,0,1,0,1,0,0,0
111,2010,71088,1,5.0,3.35,Honda,13.5,1799,130,0,0,0,1,0,0,0,0,0,0,0,0,1,1
112,2014,55000,1,7.0,11.11,Toyota,12.99,2494,100.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
113,2014,32700,1,5.0,20.0,Volvo,23.3,1984,150,1,0,0,0,0,0,0,0,0,0,1,0,0,0
114,2016,39882,1,5.0,6.55,Nissan,19.15,1198,75.94,0,0,1,0,0,0,0,0,0,0,0,0,1,0
115,2009,128000,1,5.0,7.0,BMW,10.8,2497,215,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116,2016,55000,1,5.0,7.5,Maruti,24.3,1248,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
117,2014,53753,2,5.0,16.75,Mercedes-Benz,15.0,2143,107.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
118,2018,10250,1,5.0,10.95,Hyundai,22.0,1582,126.2,0,0,0,0,0,0,0,1,0,0,1,0,0,1
119,2011,43874,1,5.0,2.45,Maruti,18.9,998,67.1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
120,2017,32684,1,4.0,3.23,Tata,21.9,624,37.48,0,0,1,0,0,0,0,0,0,0,0,0,1,0
121,2014,42000,1,8.0,7.75,Mahindra,12.05,2179,120,0,0,0,0,0,0,0,1,0,0,1,0,0,1
122,2009,28352,1,5.0,9.35,Mercedes-Benz,11.7,1796,178,0,0,0,0,0,0,0,1,0,0,0,0,1,0
123,2013,89900,1,5.0,3.25,Maruti,26.6,998,58.16,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,2007,47700,2,5.0,5.25,Honda,10.8,2354,152,1,0,0,0,0,0,0,0,0,0,0,0,1,1
125,2015,55000,1,5.0,7.25,Volkswagen,21.21,1498,103.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
126,2017,44285,1,5.0,7.47,Maruti,20.73,1373,91.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
127,2016,54000,1,7.0,13.25,Mahindra,16.0,2179,140,0,0,0,0,0,1,0,0,0,0,1,0,0,0
128,2016,30232,1,5.0,5.81,Maruti,21.1,1197,85.80,0,0,1,0,0,0,0,0,0,0,0,0,1,1
129,2014,88500,1,5.0,2.6,Maruti,24.07,998,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
130,2017,13372,1,2.0,54.0,Mercedes-Benz,19.0,2996,362.07,0,0,0,0,0,0,0,1,0,0,0,0,1,0
131,2019,12645,1,5.0,11.5,Hyundai,17.0,1591,121.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
132,2010,94385,2,5.0,1.6,Maruti,19.7,796,46.3,0,1,0,0,0,0,0,0,0,0,0,0,1,1
133,2015,31821,1,5.0,17.22,BMW,20.58,1995,143,0,0,1,0,0,0,0,0,0,0,1,0,0,0
134,2015,12000,1,5.0,6.0,Honda,19.0,1199,88.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0
135,2012,88578,1,5.0,3.95,Honda,13.5,1799,130,0,0,0,1,0,0,0,0,0,0,0,0,1,1
136,2014,44965,1,5.0,17.95,Mercedes-Benz,19.27,2143,170,0,0,0,0,0,0,1,0,0,0,1,0,0,0
137,2014,45044,1,5.0,3.7,Honda,25.8,1498,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
138,2016,34204,1,5.0,5.43,Maruti,22.0,1197,81.80,0,0,0,0,0,0,1,0,0,0,0,0,1,1
139,2012,91235,1,7.0,13.49,Toyota,11.5,2982,171,0,0,1,0,0,0,0,0,0,0,1,0,0,1
140,2014,38800,1,5.0,2.85,Chevrolet,18.6,1199,76.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1
141,2013,83000,1,5.0,4.75,Skoda,21.14,1498,103.52,0,1,0,0,0,0,0,0,0,0,1,0,0,1
142,2018,41283,1,5.0,9.9,Maruti,20.73,1373,91.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
143,2013,23000,1,4.0,37.0,Audi,11.05,2894,444,0,0,0,0,0,0,0,0,1,0,0,0,1,0
144,2014,48000,1,5.0,26.5,BMW,21.76,1995,190,0,0,0,0,0,0,0,0,1,0,1,0,0,0
145,2015,48214,1,5.0,23.32,Audi,17.11,1968,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0
146,2016,35000,1,5.0,6.25,Maruti,22.9,1248,74,0,1,0,0,0,0,0,0,0,0,1,0,0,1
147,2010,35277,1,5.0,30.0,Mercedes-Benz,7.81,5461,362.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0
148,2016,54620,1,5.0,9.86,Skoda,21.66,1498,103.52,0,0,1,0,0,0,0,0,0,0,1,0,0,0
149,2012,136997,1,5.0,8.5,Skoda,17.2,1968,138.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
150,2019,14322,1,5.0,4.23,Hyundai,21.1,814,55.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
151,2012,65634,1,5.0,3.5,Volkswagen,22.07,1199,73.9,0,0,0,0,0,1,0,0,0,0,1,0,0,1
152,2016,6000,1,5.0,2.5,Datsun,20.63,1198,67.06,0,0,0,0,0,0,0,1,0,0,0,0,1,1
153,2013,33280,1,5.0,2.39,Honda,19.4,1198,86.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1
154,2013,29000,1,5.0,11.25,Mercedes-Benz,14.8,1595,120.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0
155,2015,42831,1,5.0,7.11,Honda,26.0,1498,98.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1
156,2016,90000,1,7.0,10.9,Toyota,12.99,2494,100.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
157,2017,24005,1,5.0,6.2,Maruti,20.4,1197,81.80,0,0,0,0,0,0,0,0,0,0,0,0,1,1
158,2012,32792,1,7.0,7.9,Mahindra,15.1,2179,140,0,0,0,0,0,0,0,0,1,0,1,0,0,1
159,2014,147898,1,5.0,4.42,Ford,22.7,1498,89.84,0,0,0,0,0,0,1,0,0,0,1,0,0,1
160,2012,131765,1,7.0,13.5,Toyota,13.0,2982,168.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
161,2013,65000,1,5.0,6.25,Volkswagen,21.5,1498,108.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
162,2010,66123,2,5.0,2.1,Ford,20.0,1399,68,0,0,0,0,0,1,0,0,0,0,1,0,0,1
163,2015,41000,1,5.0,45.0,BMW,15.3,2993,258,0,0,0,0,0,0,0,0,1,0,1,0,0,0
164,2017,23550,1,5.0,33.66,Mercedes-Benz,19.27,2143,167.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0
165,2012,45000,2,5.0,3.65,Honda,19.4,1198,86.8,1,0,0,0,0,0,0,0,0,0,0,0,1,1
166,2013,60000,1,5.0,2.75,Hyundai,20.36,1197,78.9,0,0,0,1,0,0,0,0,0,0,0,0,1,1
167,2016,44414,1,5.0,42.5,Mercedes-Benz,17.9,2143,170,1,0,0,0,0,0,0,0,0,0,1,0,0,0
168,2019,1000,1,5.0,6.5,Hyundai,18.9,1197,81.86,0,0,0,0,0,0,0,1,0,0,0,0,1,1
169,2012,62500,2,5.0,19.0,Audi,17.68,1968,174.33,0,0,0,0,0,0,0,0,1,0,1,0,0,0
170,2013,21000,2,5.0,4.45,Volkswagen,14.4,1598,103.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
171,2017,8525,2,5.0,23.0,Mini,16.6,1998,112,0,0,0,0,0,1,0,0,0,0,1,0,0,0
172,2014,29000,1,5.0,8.35,Hyundai,22.54,1396,88.73,1,0,0,0,0,0,0,0,0,0,1,0,0,1
173,2014,40000,1,5.0,22.95,Audi,17.68,1968,174.33,0,0,0,0,0,0,0,0,1,0,1,0,0,0
174,2012,88000,1,5.0,1.5,Chevrolet,25.44,936,57.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1
175,2012,53537,1,5.0,6.89,Skoda,13.7,1798,157.75,0,0,0,0,0,0,1,0,0,0,0,0,1,0
176,2006,216000,2,5.0,1.45,Ford,17.8,1399,68,0,1,0,0,0,0,0,0,0,0,1,0,0,1
177,2014,51000,1,5.0,33.5,BMW,22.48,1995,190,0,0,0,0,1,0,0,0,0,0,1,0,0,0
178,2007,118500,1,5.0,1.25,Chevrolet,12.9,1598,102.5,0,0,0,0,0,1,0,0,0,0,0,0,1,1
179,2012,63000,1,5.0,4.2,Volkswagen,22.07,1199,73.9,0,0,0,0,1,0,0,0,0,0,1,0,0,1
180,2015,25000,1,8.0,6.75,Renault,19.98,1461,108.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
181,2014,37382,1,5.0,32.0,Mercedes-Benz,13.0,2143,201.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
182,2017,24773,1,5.0,7.5,Maruti,21.4,1197,83.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
183,2012,62000,1,5.0,4.6,Hyundai,22.32,1582,126.32,0,0,0,1,0,0,0,0,0,0,1,0,0,1
184,2017,52340,1,5.0,4.04,Hyundai,19.81,1086,68.05,0,0,0,0,0,0,1,0,0,0,0,0,1,1
185,2016,56739,1,7.0,10.31,Mahindra,15.4,1997,120,0,0,0,0,0,0,1,0,0,0,1,0,0,1
186,2018,36091,1,5.0,55.76,Land,12.7,2179,187.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0
187,2010,120000,1,5.0,2.6,Ford,20.0,1399,68,0,1,0,0,0,0,0,0,0,0,1,0,0,1
188,2016,33000,1,7.0,8.5,Maruti,25.47,1248,88.50,0,0,0,0,0,0,0,0,1,0,1,0,0,1
189,2014,52000,1,5.0,3.5,Honda,25.8,1498,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
190,2015,43571,1,5.0,3.55,Hyundai,20.36,1197,78.9,0,0,0,0,0,1,0,0,0,0,0,0,1,1
191,2013,50000,1,5.0,3.25,Honda,25.8,1498,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
192,2008,113000,1,5.0,4.5,Skoda,17.5,1896,106,0,0,0,0,1,0,0,0,0,0,1,0,0,1
193,2014,90000,1,5.0,5.35,Renault,19.87,1461,83.8,0,0,0,1,0,0,0,0,0,0,1,0,0,1
194,2017,29000,2,7.0,6.5,Mahindra,17.45,1493,100,0,1,0,0,0,0,0,0,0,0,1,0,0,1
195,2016,20000,1,5.0,9.0,Maruti,24.3,1248,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
196,2016,61012,1,5.0,6.0,Hyundai,18.6,1197,81.83,0,0,0,0,0,0,1,0,0,0,0,0,1,1
197,2009,87459,1,5.0,2.75,Skoda,14.7,1390,85,0,0,0,0,0,1,0,0,0,0,0,0,1,1
198,2010,70500,1,5.0,1.5,Tata,15.64,1193,64.1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
199,2015,64103,1,5.0,19.9,Audi,15.73,1968,174.33,0,0,0,1,0,0,0,0,0,0,1,0,0,0
200,2014,76000,1,5.0,10.0,Skoda,14.7,1798,177.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
201,2014,104000,1,5.0,3.0,Toyota,23.59,1364,67.06,0,0,0,1,0,0,0,0,0,0,1,0,0,1
202,2014,37245,1,5.0,11.96,Mercedes-Benz,14.8,1595,120.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
203,2013,45000,1,5.0,3.25,Honda,27.4,1498,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
204,2012,117837,2,5.0,4.75,Hyundai,22.32,1582,126.32,0,0,0,0,0,1,0,0,0,0,1,0,0,1
205,2014,30000,1,5.0,5.95,Renault,20.46,1461,83.8,0,0,0,0,0,0,0,0,1,0,1,0,0,1
206,2015,27057,2,5.0,8.15,Hyundai,15.29,1591,121.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
207,2016,8500,1,5.0,4.22,Maruti,20.51,998,67,0,0,0,0,0,0,0,0,1,0,0,0,1,0
208,2010,30500,1,5.0,10.5,Mercedes-Benz,11.74,1796,186,0,0,0,0,0,0,0,1,0,0,0,0,1,0
209,2012,56000,1,5.0,45.0,Audi,11.8,2967,246.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0
210,2012,44000,2,5.0,2.9,Hyundai,19.81,1086,68.05,0,0,0,0,0,0,0,0,0,1,0,0,1,1
211,2017,10500,1,5.0,8.9,Skoda,14.3,1598,103.52,0,0,0,0,0,0,0,0,1,0,0,0,1,0
212,2017,26000,1,5.0,26.0,Skoda,14.67,1798,177.46,0,0,0,0,1,0,0,0,0,0,0,0,1,0
213,2018,25166,1,5.0,8.22,Hyundai,17.19,1197,81.86,0,0,1,0,0,0,0,0,0,0,0,0,1,1
214,2014,64000,2,5.0,3.5,Honda,25.8,1498,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
215,2004,61000,2,5.0,1.25,Maruti,18.9,998,67.1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
216,2013,107000,1,5.0,3.7,Mahindra,21.03,1461,65,0,0,0,0,1,0,0,0,0,0,1,0,0,1
217,2018,29161,1,5.0,39.41,Mercedes-Benz,19.27,2143,167.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0
218,2013,32000,1,5.0,2.65,Maruti,22.5,998,67.04,0,0,0,0,0,0,0,1,0,0,0,0,1,1
219,2015,46173,2,5.0,8.92,Nissan,19.01,1461,108.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1
